     INDEX,YYYY/MM/DD,  H: M: S: MS,     ViVol,     VeVol,        Tt
1, 2008/07/29, 14:22:07:000,1139,1368,9.5
2, 2008/07/29, 14:22:15:560,1157,942,8.36
3, 2008/07/29, 14:22:23:920,900,921,6.96
4, 2008/07/29, 14:22:30:880,1029,1032,8.54
5, 2008/07/29, 14:22:39:420,873,907,8.28
6, 2008/07/29, 14:22:47:700,872,871,8.22
7, 2008/07/29, 14:22:55:920,1228,1259,9.44
8, 2008/07/29, 14:23:05:360,1354,1330,9.08
9, 2008/07/29, 14:23:14:440,1156,1171,8.92
10, 2008/07/29, 14:23:23:360,1163,1232,9.56
11, 2008/07/29, 14:23:32:920,1426,1336,8.72
12, 2008/07/29, 14:23:41:640,1204,1229,8.74
13, 2008/07/29, 14:23:50:380,1379,1347,8.68
14, 2008/07/29, 14:23:59:060,1316,1301,8.74


