     INDEX,YYYY/MM/DD,  H: M: S: MS,     ViVol,     VeVol,        Tt
1, 2008/07/29, 14:24:30:000,1159,1201,7.96
2, 2008/07/29, 14:24:36:900,1263,1241,9.64
3, 2008/07/29, 14:24:46:540,767,813,7.38
4, 2008/07/29, 14:24:53:920,865,816,7.32
5, 2008/07/29, 14:25:01:240,1166,1177,9.3
6, 2008/07/29, 14:25:10:540,1004,1036,7.18
7, 2008/07/29, 14:25:17:720,1060,1083,7.94
8, 2008/07/29, 14:25:25:660,451,471,7.5
9, 2008/07/29, 14:25:33:160,773,734,6.74
10, 2008/07/29, 14:25:39:900,790,822,7.88
11, 2008/07/29, 14:25:47:780,1282,1211,8.82
12, 2008/07/29, 14:25:56:600,865,884,7.36
13, 2008/07/29, 14:26:03:960,1062,1080,7.94
14, 2008/07/29, 14:26:11:900,159,195,4.18
15, 2008/07/29, 14:26:16:080,886,851,8.46
16, 2008/07/29, 14:26:24:540,414,429,4.6


