     INDEX,YYYY/MM/DD,  H: M: S: MS,     ViVol,     VeVol,        Tt
1, 2008/07/29, 16:44:58:000,785,485,11.48
2, 2008/07/29, 16:45:02:920,318,296,4.2
3, 2008/07/29, 16:45:07:120,518,728,4.74
4, 2008/07/29, 16:45:11:860,521,139,3.78
5, 2008/07/29, 16:45:15:640,171,838,4.3
6, 2008/07/29, 16:45:19:940,884,760,9.46
7, 2008/07/29, 16:45:29:400,879,830,6.32
8, 2008/07/29, 16:45:35:720,882,876,7.5
9, 2008/07/29, 16:45:43:220,1007,1154,7.28
10, 2008/07/29, 16:45:50:500,989,972,7
11, 2008/07/29, 16:45:57:500,1158,1164,7.06
12, 2008/07/29, 16:46:04:560,1361,1178,7.34
13, 2008/07/29, 16:46:11:900,893,1042,6.28
14, 2008/07/29, 16:46:18:180,894,969,7.32
15, 2008/07/29, 16:46:25:500,887,932,6.58
16, 2008/07/29, 16:46:32:080,1026,971,7.12
17, 2008/07/29, 16:46:39:200,926,993,7.16
18, 2008/07/29, 16:46:46:360,1021,891,7.16
19, 2008/07/29, 16:46:53:520,677,802,6.5
20, 2008/07/29, 16:47:00:020,575,389,5.42


