     INDEX,YYYY/MM/DD,  H: M: S: MS,     ViVol,     VeVol,        Tt
1, 2008/07/29, 16:49:40:000,369,157,1.72
2, 2008/07/29, 16:49:40:740,476,412,2.04
3, 2008/07/29, 16:49:42:780,622,731,3.24
4, 2008/07/29, 16:49:46:020,738,771,3.46
5, 2008/07/29, 16:49:49:480,637,637,3.2
6, 2008/07/29, 16:49:52:680,773,738,3.94
7, 2008/07/29, 16:49:56:620,702,691,3.5
8, 2008/07/29, 16:50:00:120,545,598,3.4
9, 2008/07/29, 16:50:03:520,718,698,3.42
10, 2008/07/29, 16:50:06:940,504,561,3.2
11, 2008/07/29, 16:50:10:140,763,574,3.14
12, 2008/07/29, 16:50:13:280,478,546,3.4
13, 2008/07/29, 16:50:16:680,746,725,3.54
14, 2008/07/29, 16:50:20:220,539,634,3.42
15, 2008/07/29, 16:50:23:640,408,455,2.66
16, 2008/07/29, 16:50:26:300,718,671,3.94
17, 2008/07/29, 16:50:30:240,778,767,3.56
18, 2008/07/29, 16:50:33:800,514,521,3.12
19, 2008/07/29, 16:50:36:920,533,538,3.12
20, 2008/07/29, 16:50:40:040,829,680,3.9
21, 2008/07/29, 16:50:43:940,539,504,3.32
22, 2008/07/29, 16:50:47:260,457,622,3.48
23, 2008/07/29, 16:50:50:740,636,639,3.48
24, 2008/07/29, 16:50:54:220,863,876,4.28
25, 2008/07/29, 16:50:58:500,469,383,2.08
26, 2008/07/29, 16:51:00:580,669,704,4.06
27, 2008/07/29, 16:51:04:640,507,541,4.1
28, 2008/07/29, 16:51:08:740,465,430,2.18
29, 2008/07/29, 16:51:10:920,609,625,3.72
30, 2008/07/29, 16:51:14:640,516,339,4.14
31, 2008/07/29, 16:51:18:780,430,614,2.96
32, 2008/07/29, 16:51:21:740,533,585,3.48
33, 2008/07/29, 16:51:25:220,596,590,3.32
34, 2008/07/29, 16:51:28:540,646,626,3.48
35, 2008/07/29, 16:51:32:020,649,575,2.92
36, 2008/07/29, 16:51:34:940,476,485,3.7
37, 2008/07/29, 16:51:38:640,545,602,3.94
38, 2008/07/29, 16:51:42:580,472,492,2.64
39, 2008/07/29, 16:51:45:220,1140,1089,5.32


