     INDEX,YYYY/MM/DD,  H: M: S: MS,     ViVol,     VeVol,        Tt
1, 2008/07/29, 16:47:21:000,916,641,5.4
2, 2008/07/29, 16:47:21:640,857,811,3.72
3, 2008/07/29, 16:47:25:360,853,870,4.08
4, 2008/07/29, 16:47:29:440,862,846,4.8
5, 2008/07/29, 16:47:34:240,773,770,4.48
6, 2008/07/29, 16:47:38:720,817,818,4.56
7, 2008/07/29, 16:47:43:280,641,701,4.08
8, 2008/07/29, 16:47:47:360,811,774,4.62
9, 2008/07/29, 16:47:51:980,689,718,4.62
10, 2008/07/29, 16:47:56:600,907,825,5.04
11, 2008/07/29, 16:48:01:640,724,741,4
12, 2008/07/29, 16:48:05:640,695,761,4.4
13, 2008/07/29, 16:48:10:040,599,548,4.02
14, 2008/07/29, 16:48:14:060,102,150,1.5
15, 2008/07/29, 16:48:15:560,425,408,2.8
16, 2008/07/29, 16:48:18:360,180,250,2.22
17, 2008/07/29, 16:48:20:580,528,440,3.18
18, 2008/07/29, 16:48:23:760,575,529,3.96
19, 2008/07/29, 16:48:27:720,597,724,6.1
20, 2008/07/29, 16:48:33:820,665,567,3.2
21, 2008/07/29, 16:48:37:020,137,123,1.3
22, 2008/07/29, 16:48:38:320,570,603,3.48
23, 2008/07/29, 16:48:41:800,602,515,5.66
24, 2008/07/29, 16:48:47:460,579,653,3.78
25, 2008/07/29, 16:48:51:240,525,549,3.86
26, 2008/07/29, 16:48:55:100,728,863,4.54
27, 2008/07/29, 16:48:59:640,957,844,4.74
28, 2008/07/29, 16:49:04:380,706,769,4.18
29, 2008/07/29, 16:49:08:560,516,115,2.18
30, 2008/07/29, 16:49:10:740,237,613,2.82
31, 2008/07/29, 16:49:13:560,1304,1119,5.7
32, 2008/07/29, 16:49:19:260,585,630,7.78


