     INDEX,YYYY/MM/DD,  H: M: S: MS,     ViVol,     VeVol,        Tt
1, 2008/07/29, 14:33:23:000,856,622,3.3
2, 2008/07/29, 14:33:24:920,739,689,3.32
3, 2008/07/29, 14:33:28:240,722,764,3.42
4, 2008/07/29, 14:33:31:660,608,576,3.38
5, 2008/07/29, 14:33:35:040,536,583,3.44
6, 2008/07/29, 14:33:38:480,553,581,3.38
7, 2008/07/29, 14:33:41:860,611,579,3.38
8, 2008/07/29, 14:33:45:240,642,662,3.52
9, 2008/07/29, 14:33:48:760,623,565,3.34
10, 2008/07/29, 14:33:52:100,621,631,3.22
11, 2008/07/29, 14:33:55:320,735,677,3.4
12, 2008/07/29, 14:33:58:720,711,762,3.46
13, 2008/07/29, 14:34:02:180,649,628,3.58
14, 2008/07/29, 14:34:05:760,631,651,3.3
15, 2008/07/29, 14:34:09:060,675,672,3.5
16, 2008/07/29, 14:34:12:560,595,597,3.36
17, 2008/07/29, 14:34:15:920,673,656,3.22
18, 2008/07/29, 14:34:19:140,744,737,3.58
19, 2008/07/29, 14:34:22:720,703,679,3.4
20, 2008/07/29, 14:34:26:120,780,706,3.48
21, 2008/07/29, 14:34:29:600,616,680,3.32
22, 2008/07/29, 14:34:32:920,806,710,3.34
23, 2008/07/29, 14:34:36:260,746,763,3.36
24, 2008/07/29, 14:34:39:620,767,770,3.48
25, 2008/07/29, 14:34:43:100,743,781,3.3
26, 2008/07/29, 14:34:46:400,885,668,3.44
27, 2008/07/29, 14:34:49:840,630,801,3.44
28, 2008/07/29, 14:34:53:280,754,751,3.36
29, 2008/07/29, 14:34:56:640,787,803,3.38
30, 2008/07/29, 14:35:00:020,916,896,3.52
31, 2008/07/29, 14:35:03:540,816,824,3.4
32, 2008/07/29, 14:35:06:940,898,840,3.44
33, 2008/07/29, 14:35:10:380,706,749,3.22
34, 2008/07/29, 14:35:13:600,833,831,3.54
35, 2008/07/29, 14:35:17:140,710,763,3.44
36, 2008/07/29, 14:35:20:580,783,743,3.4
37, 2008/07/29, 14:35:23:980,797,798,3.4
38, 2008/07/29, 14:35:27:380,802,788,3.32
39, 2008/07/29, 14:35:30:700,487,493,2.48


