     INDEX,YYYY/MM/DD,  H: M: S: MS,     ViVol,     VeVol,        Tt
1, 2008/07/29, 14:30:47:000,625,659,4.32
2, 2008/07/29, 14:30:49:960,781,644,4.52
3, 2008/07/29, 14:30:54:480,668,728,4.64
4, 2008/07/29, 14:30:59:120,677,758,4.38
5, 2008/07/29, 14:31:03:500,748,663,4.24
6, 2008/07/29, 14:31:07:740,734,834,4.74
7, 2008/07/29, 14:31:12:480,858,796,4.46
8, 2008/07/29, 14:31:16:940,873,837,4.46
9, 2008/07/29, 14:31:21:400,734,915,4.52
10, 2008/07/29, 14:31:25:920,868,805,4.54
11, 2008/07/29, 14:31:30:460,840,786,4.34
12, 2008/07/29, 14:31:34:800,839,841,4.52
13, 2008/07/29, 14:31:39:320,939,836,4.7
14, 2008/07/29, 14:31:44:020,845,916,4.5
15, 2008/07/29, 14:31:48:520,901,820,4.4
16, 2008/07/29, 14:31:52:920,836,892,4.54
17, 2008/07/29, 14:31:57:460,947,817,4.42
18, 2008/07/29, 14:32:01:880,864,830,4.42
19, 2008/07/29, 14:32:06:300,800,803,4.56
20, 2008/07/29, 14:32:10:860,836,816,4.42
21, 2008/07/29, 14:32:15:280,832,825,4.72
22, 2008/07/29, 14:32:20:000,722,760,4.3
23, 2008/07/29, 14:32:24:300,769,767,4.56
24, 2008/07/29, 14:32:28:860,848,791,4.6
25, 2008/07/29, 14:32:33:460,847,843,4.5
26, 2008/07/29, 14:32:37:960,856,833,4.28
27, 2008/07/29, 14:32:42:240,805,913,5.52


