     INDEX,YYYY/MM/DD,  H: M: S: MS,     ViVol,     VeVol,        Tt
1, 2008/07/29, 16:36:23:000,271,204,3.36
2, 2008/07/29, 16:36:24:020,184,209,3.34
3, 2008/07/29, 16:36:27:360,201,225,3.6
4, 2008/07/29, 16:36:30:960,234,226,3.18
5, 2008/07/29, 16:36:34:140,219,254,3.74
6, 2008/07/29, 16:36:37:880,197,210,3.88
7, 2008/07/29, 16:36:41:760,200,216,3.32
8, 2008/07/29, 16:36:45:080,217,219,3.48
9, 2008/07/29, 16:36:48:560,230,252,3.8
10, 2008/07/29, 16:36:52:360,230,206,3.8
11, 2008/07/29, 16:36:56:160,215,207,3.6
12, 2008/07/29, 16:36:59:760,182,174,3.18
13, 2008/07/29, 16:37:02:940,205,221,3.02
14, 2008/07/29, 16:37:05:960,210,207,3.1
15, 2008/07/29, 16:37:09:060,189,191,3.18
16, 2008/07/29, 16:37:12:240,218,201,3.08
17, 2008/07/29, 16:37:15:320,172,187,2.92
18, 2008/07/29, 16:37:18:240,184,179,3.16
19, 2008/07/29, 16:37:21:400,180,180,3.1
20, 2008/07/29, 16:37:24:500,214,250,5.28
21, 2008/07/29, 16:37:29:780,212,157,3.58
22, 2008/07/29, 16:37:33:360,173,187,3.48
23, 2008/07/29, 16:37:36:840,191,215,3.84
24, 2008/07/29, 16:37:40:680,232,206,4
25, 2008/07/29, 16:37:44:680,226,233,3.88
26, 2008/07/29, 16:37:48:560,1475,1303,8.2
27, 2008/07/29, 16:37:56:760,257,291,4.3
28, 2008/07/29, 16:38:01:060,156,153,4.56
29, 2008/07/29, 16:38:05:620,155,173,4.7
30, 2008/07/29, 16:38:10:320,166,191,3.66
31, 2008/07/29, 16:38:13:980,151,110,7.94
32, 2008/07/29, 16:38:21:920,123,152,3.78
33, 2008/07/29, 16:38:25:700,144,140,4.04


