     INDEX,YYYY/MM/DD,  H: M: S: MS,     ViVol,     VeVol,        Tt
1, 2008/07/29, 16:31:03:000,138,149,9.08
2, 2008/07/29, 16:31:11:180,121,107,2.98
3, 2008/07/29, 16:31:14:160,151,154,3.86
4, 2008/07/29, 16:31:18:020,220,209,4.08
5, 2008/07/29, 16:31:22:100,144,155,3.48
6, 2008/07/29, 16:31:25:580,200,184,3.6
7, 2008/07/29, 16:31:29:180,195,187,3.48
8, 2008/07/29, 16:31:32:660,172,163,3.06
9, 2008/07/29, 16:31:35:720,204,202,3.26
10, 2008/07/29, 16:31:38:980,197,198,3.2
11, 2008/07/29, 16:31:42:180,191,189,3.36
12, 2008/07/29, 16:31:45:540,172,176,3.18
13, 2008/07/29, 16:31:48:720,176,159,3.14
14, 2008/07/29, 16:31:51:860,170,184,3.14
15, 2008/07/29, 16:31:55:000,185,172,3.26
16, 2008/07/29, 16:31:58:260,177,167,3.18
17, 2008/07/29, 16:32:01:440,149,145,3.18
18, 2008/07/29, 16:32:04:620,163,170,3.24
19, 2008/07/29, 16:32:07:860,176,176,3.32
20, 2008/07/29, 16:32:11:180,172,160,3.48
21, 2008/07/29, 16:32:14:660,166,166,3.34
22, 2008/07/29, 16:32:18:000,161,162,3.28
23, 2008/07/29, 16:32:21:280,154,146,3.28
24, 2008/07/29, 16:32:24:560,151,159,3.1
25, 2008/07/29, 16:32:27:660,152,151,3.06
26, 2008/07/29, 16:32:30:720,147,146,3.26
27, 2008/07/29, 16:32:33:980,155,146,3.18
28, 2008/07/29, 16:32:37:160,145,145,3.48
29, 2008/07/29, 16:32:40:640,143,145,3.24
30, 2008/07/29, 16:32:43:880,153,149,3.16
31, 2008/07/29, 16:32:47:040,145,139,2.96
32, 2008/07/29, 16:32:50:000,141,143,3.06
33, 2008/07/29, 16:32:53:060,136,146,3.16
34, 2008/07/29, 16:32:56:220,150,134,3.42
35, 2008/07/29, 16:32:59:640,152,162,3.24
36, 2008/07/29, 16:33:02:880,148,133,3.48
37, 2008/07/29, 16:33:06:360,144,148,3.42
38, 2008/07/29, 16:33:09:780,136,136,3.26
39, 2008/07/29, 16:33:13:040,143,143,3.24
40, 2008/07/29, 16:33:16:280,132,138,3.18
41, 2008/07/29, 16:33:19:460,160,147,3.24
42, 2008/07/29, 16:33:22:700,139,143,3.36
43, 2008/07/29, 16:33:26:060,137,138,3.28
44, 2008/07/29, 16:33:29:340,140,137,3.28
45, 2008/07/29, 16:33:32:620,130,130,3.04
46, 2008/07/29, 16:33:35:660,120,111,2.98
47, 2008/07/29, 16:33:38:640,123,131,3.18
48, 2008/07/29, 16:33:41:820,117,120,3.12
49, 2008/07/29, 16:33:44:940,139,139,3.14
50, 2008/07/29, 16:33:48:080,146,145,3
51, 2008/07/29, 16:33:51:080,147,143,3.4
52, 2008/07/29, 16:33:54:480,149,154,3.5
53, 2008/07/29, 16:33:57:980,148,136,3.26
54, 2008/07/29, 16:34:01:240,137,147,3.12
55, 2008/07/29, 16:34:04:360,133,125,3.1
56, 2008/07/29, 16:34:07:460,124,122,3.2
57, 2008/07/29, 16:34:10:660,116,112,2.9
58, 2008/07/29, 16:34:13:560,148,160,7.26
59, 2008/07/29, 16:34:20:820,162,161,3.14
60, 2008/07/29, 16:34:23:960,145,142,3.16
61, 2008/07/29, 16:34:27:120,137,144,3.24
62, 2008/07/29, 16:34:30:360,151,145,3.36
63, 2008/07/29, 16:34:33:720,135,130,3.62
64, 2008/07/29, 16:34:37:340,117,131,3.2
65, 2008/07/29, 16:34:40:540,168,148,3.62
66, 2008/07/29, 16:34:44:160,140,145,3.56
67, 2008/07/29, 16:34:47:720,156,147,3.94
68, 2008/07/29, 16:34:51:660,128,120,3.44
69, 2008/07/29, 16:34:55:100,119,124,3.72
70, 2008/07/29, 16:34:58:820,124,124,3.22
71, 2008/07/29, 16:35:02:040,125,131,3.2
72, 2008/07/29, 16:35:05:240,136,133,3.3
73, 2008/07/29, 16:35:08:540,124,124,3.38
74, 2008/07/29, 16:35:11:920,122,121,3.34
75, 2008/07/29, 16:35:15:260,122,117,3.26
76, 2008/07/29, 16:35:18:520,115,110,3.3
77, 2008/07/29, 16:35:21:820,113,119,3.52
78, 2008/07/29, 16:35:25:340,128,122,3.64
79, 2008/07/29, 16:35:28:980,115,116,3.32
80, 2008/07/29, 16:35:32:300,134,134,3.16
81, 2008/07/29, 16:35:35:460,121,115,3.46
82, 2008/07/29, 16:35:38:920,125,129,3.24
83, 2008/07/29, 16:35:42:160,121,119,3.44
84, 2008/07/29, 16:35:45:600,133,136,3.18
85, 2008/07/29, 16:35:48:780,128,128,3.54
86, 2008/07/29, 16:35:52:320,154,146,3.52
87, 2008/07/29, 16:35:55:840,121,126,3.32
88, 2008/07/29, 16:35:59:160,127,119,3.34
89, 2008/07/29, 16:36:02:500,126,125,3.3


